"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1612013,"min",0.75,0.660031398477758,0.133869741953769,0.660108635015666,0.678299791384776,0.695567330112161,0.696046035540727,0.717977996217913,0.708550422888427,0.0181911563691097,0.486976147328448,0,465.480104464833,9.54791801177635e-15,0,0.376442165484797,0.975402117760066,0.739027659124194,0.707846661273987,2229174,13444807,"randomized",TRUE,1e-05,3000,80,5,5,13
1612014,"min",0.75,0.672412643401248,0.134802773780796,0.678008252051597,0.696703326741401,0.714881663889751,0.703401976370764,0.732733682481264,0.723405134722582,0.0186950746898047,0.492993087489126,0,1317.19377205764,1.06581410364015e-14,0,0.343149466956983,0.980437253560223,0.748661625666766,0.711446662671657,2220270,13575222,"randomized",TRUE,1e-05,3000,80,5,5,14
1612015,"min",0.75,0.671084819245501,0.138460895811696,0.674427024401458,0.696726341381756,0.717322771274504,0.721946774711721,0.732265765508274,0.72360583592301,0.0222993169802976,0.480150863294335,0,2674.56249759345,5.99520433297585e-15,0,0.355012433387549,0.981734479485287,0.749913770274815,0.723822630737018,2184226,13436071,"randomized",TRUE,1e-05,3000,80,5,5,15
1612016,"min",0.75,0.711652117613469,0.145154350329666,0.711627159895279,0.736332006066001,0.759448320695258,0.77734119234709,0.779675590730027,0.771988890344545,0.0247048461707225,0.48339091403374,0,672.567139230057,7.7715611723761e-15,0,0.353157268005394,0.977667904476694,0.776075175802168,0.807274050420742,2206960,13534180,"randomized",TRUE,1e-05,3000,80,5,5,16
1612017,"min",0.75,0.642234013079629,0.13098995944568,0.643482975911091,0.668428643092643,0.692129301399236,0.748666518344292,0.703426494773989,0.700330690329695,0.0249456671815523,0.487203464367904,0,612.736982072144,1.06581410364015e-14,0,0.363888780759986,0.981313332232122,0.738608738374794,0.789668583054089,2241922,13508530,"randomized",TRUE,1e-05,3000,80,5,5,17
1612018,"min",0.75,0.697571499307335,0.145609558513425,0.700979234308852,0.724429771635002,0.746556653659388,0.731095252844,0.773527871207411,0.760580448410157,0.0234505373261508,0.485479045099233,0,637.214039149368,7.32747196252603e-15,0,0.354271741657003,0.983397045821827,0.765737932741732,0.736791011212527,2268201,13535317,"randomized",TRUE,1e-05,3000,80,5,5,18
1612019,"min",0.75,0.68961379611647,0.141497644639377,0.689750683046528,0.7116681335199,0.732368461772712,0.698183151774206,0.75620694500666,0.744991069410577,0.0219174504733728,0.485720487353635,0,283.409536075015,8.43769498715119e-15,0,0.328616261169264,0.984097555707644,0.758197001755654,0.704114010363289,2227762,13355352,"randomized",TRUE,1e-05,3000,80,5,5,19
1612020,"min",0.75,0.662690887747084,0.137985906163311,0.663933508657188,0.692684245009311,0.719395741310091,0.753360541982741,0.731304761999476,0.726605615453694,0.0287507363521226,0.481615957798666,0,209.72057751645,1.02140518265514e-14,0,0.399089015500303,0.975104949355517,0.752826694978666,0.780391045572511,2193800,13531606,"randomized",TRUE,1e-05,3000,80,5,5,20
1612001,"min",0.75,0.716289565535082,0.143851984467399,0.715895022228244,0.744589261620941,0.772841589175848,0.821935419413979,0.790818050162772,0.782885908566377,0.0286942393926969,0.496119943119695,0,1549.58070270198,1.73194791841524e-14,0,0.311696467284805,0.982086535211641,0.77539991993229,0.861908634839633,2199265,13533205,"randomized",TRUE,1e-06,3000,80,5,5,1
1612002,"min",0.75,0.65272847368723,0.134926030583999,0.649524966612631,0.673569915494095,0.6959268342633,0.721309626614023,0.72016147324151,0.710617708115316,0.0240449488814644,0.48181075247911,0,96.2733620929235,1.28785870856518e-14,0,0.399624392744006,0.981687296339619,0.744856010912418,0.74553482407342,2243241,13489953,"randomized",TRUE,1e-06,3000,80,5,5,2
1612003,"min",0.75,0.61776226741516,0.12648197250395,0.623365614591937,0.642791546829719,0.660698925562836,0.699224569251556,0.672929257276412,0.667420446046929,0.0194259322377824,0.479662217666021,0,1002.65469296116,9.76996261670138e-15,0,0.352119340369041,0.983811026481797,0.725803198256262,0.743560683841506,2228390,13466669,"randomized",TRUE,1e-06,3000,80,5,5,3
1612004,"min",0.75,0.623558816289095,0.125784752478965,0.621837930912033,0.644046703392883,0.664698171281852,0.6827753720807,0.688467846564399,0.679419685036051,0.0222087724808504,0.48183275947073,0,584.061983422037,7.54951656745106e-15,0,0.358705108886269,0.975825835774328,0.72443823805985,0.694615994846736,2190653,13527596,"randomized",TRUE,1e-06,3000,80,5,5,4
1612005,"min",0.75,0.624265185766008,0.125225986774319,0.624954708991975,0.641824176764249,0.657659672139063,0.694366232588852,0.672168477540889,0.668587370106024,0.0168694677722742,0.484192423749112,0,185.3356753297,7.7715611723761e-15,0,0.350726860087334,0.979541723527649,0.724726240130687,0.751724739073212,2225967,13449629,"randomized",TRUE,1e-06,3000,80,5,5,5
1612006,"min",0.75,0.659051485692685,0.138020258431976,0.663598367309651,0.687317933019759,0.709178239880196,0.715949994660851,0.723272634342419,0.715684345981717,0.0237195657101079,0.479604387366452,0,3477.74775714217,1.02140518265514e-14,0,0.366504177814939,0.979730134389452,0.747762268937821,0.733102008450507,2312741,13493346,"randomized",TRUE,1e-06,3000,80,5,5,6
1612007,"min",0.75,0.655747396626455,0.134945112786853,0.657739989894394,0.680298877667803,0.701001592801308,0.720482760774514,0.716432531952058,0.710220613903803,0.0225588877734085,0.478547112044171,0,593.669513240851,7.105427357601e-15,0,0.405080760264467,0.975228574049409,0.75051559912139,0.739885476289237,2243992,13452140,"randomized",TRUE,1e-06,3000,80,5,5,7
1612008,"min",0.75,0.690444698666736,0.139324156431838,0.694453139288019,0.72199102154731,0.749564685783376,0.786184571558844,0.766341349801666,0.758747970791904,0.0275378822592908,0.500324632305303,0,340.387401041766,7.7715611723761e-15,0,0.353443730029652,0.980531661395298,0.758233698974637,0.801889459372537,2311316,13374699,"randomized",TRUE,1e-06,3000,80,5,5,8
1612009,"min",0.75,0.698704517710381,0.139537540603228,0.701326810970165,0.728169511190814,0.755098038750497,0.773385698735717,0.774154186418877,0.76547789711221,0.0268427002206488,0.500798078661927,0,7419.14274481976,8.21565038222616e-15,0,0.322559914009914,0.98201085633996,0.763681369957853,0.78692711633006,2169465,13617874,"randomized",TRUE,1e-06,3000,80,5,5,9
1612010,"min",0.75,0.678563197801859,0.137924625694223,0.677830247109662,0.700552193008882,0.722514803430545,0.727967813316625,0.745098702367113,0.736481202035818,0.0227219458992201,0.491503379018651,0,2544.03809879772,8.88178419700125e-15,0,0.316193262098277,0.984666282676031,0.750654666466856,0.729753436905355,2239014,13484796,"randomized",TRUE,1e-06,3000,80,5,5,10
1612011,"min",0.75,0.641377822937055,0.130757892530966,0.636440285822032,0.661218015410024,0.684021301126136,0.679061866595194,0.70431754804789,0.69666890053952,0.0247777295879916,0.479251768176234,0,223.409678632134,6.43929354282591e-15,0,0.39247591349506,0.971560227480066,0.731664737621656,0.694045018610597,2243234,13494451,"randomized",TRUE,1e-06,3000,80,5,5,11
1612012,"min",0.75,0.716476420542161,0.148038185050269,0.716571283627676,0.739727549484716,0.762174486204876,0.746685046708534,0.789739397203945,0.778672531988175,0.02315626585704,0.492222814442921,0,797.087632441007,7.7715611723761e-15,0,0.431295065533135,0.970853113194432,0.782184657391633,0.702452832099283,2209294,13495623,"randomized",TRUE,1e-06,3000,80,5,5,12
1612013,"min",0.75,0.660031398477758,0.133869741953769,0.660108635015666,0.678299791384776,0.695567330112161,0.696046035540727,0.717977996217913,0.708550422888427,0.0181911563691097,0.486976147328448,0,465.480104464833,9.54791801177635e-15,0,0.376442165484797,0.975402117760066,0.739027659124194,0.707846661273987,2229174,13444807,"randomized",TRUE,1e-06,3000,80,5,5,13
1612014,"min",0.75,0.672412643401248,0.134802773780796,0.678008252051597,0.696703326741401,0.714881663889751,0.703401976370764,0.732733682481264,0.723405134722582,0.0186950746898047,0.492993087489126,0,1317.19377205764,1.06581410364015e-14,0,0.343149466956983,0.980437253560223,0.748661625666766,0.711446662671657,2220270,13575222,"randomized",TRUE,1e-06,3000,80,5,5,14
